['Round', 'Choice', 'Action', 'Outcome']
['Round 150', 'door1', 'switch', 'win']
['Round 151', 'door1', 'switch', 'win']
['Round 152', 'door2', 'switch', 'lose']
['Round 153', 'door1', 'switch', 'win']
['Round 154', 'door2', 'switch', 'lose']
['Round 155', 'door3', 'switch', 'win']
['Round 156', 'door2', 'switch', 'lose']
['Round 157', 'door1', 'switch', 'lose']
['Round 158', 'door3', 'switch', 'win']
['Round 159', 'door3', 'switch', 'lose']
['Round 160', 'door2', 'switch', 'win']
['Round 161', 'door3', 'switch', 'win']
['Round 162', 'door3', 'switch', 'lose']
['Round 163', 'door2', 'switch', 'win']
['Round 164', 'door3', 'switch', 'lose']
['Round 165', 'door2', 'switch', 'lose']
['Round 166', 'door1', 'switch', 'win']
['Round 167', 'door3', 'switch', 'win']
['Round 168', 'door1', 'switch', 'lose']
['Round 169', 'door1', 'switch', 'lose']
['Round 170', 'door3', 'switch', 'win']
['Round 171', 'door1', 'switch', 'win']
['Round 172', 'door2', 'switch', 'win']
['Round 173', 'door3', 'switch', 'win']
['Round 174', 'door2', 'switch', 'win']
['Round 175', 'door2', 'switch', 'win']
['Round 176', 'door3', 'switch', 'win']
['Round 177', 'door3', 'switch', 'win']
['Round 178', 'door2', 'switch', 'win']
['Round 179', 'door1', 'switch', 'win']
['Round 180', 'door2', 'switch', 'win']
['Round 181', 'door2', 'switch', 'win']
['Round 182', 'door1', 'switch', 'lose']
['Round 183', 'door2', 'switch', 'win']
['Round 184', 'door3', 'switch', 'win']
['Round 185', 'door2', 'switch', 'win']
['Round 186', 'door1', 'switch', 'win']
['Round 187', 'door3', 'switch', 'lose']
['Round 188', 'door2', 'switch', 'lose']
['Round 189', 'door3', 'switch', 'win']
['Round 190', 'door2', 'switch', 'win']
['Round 191', 'door1', 'switch', 'win']
['Round 192', 'door1', 'switch', 'win']
['Round 193', 'door2', 'switch', 'win']
['Round 194', 'door3', 'switch', 'win']
['Round 195', 'door2', 'switch', 'win']
['Round 196', 'door3', 'switch', 'win']
['Round 197', 'door2', 'switch', 'lose']
['Round 198', 'door1', 'switch', 'win']
['Round 199', 'door1', 'switch', 'win']
['Round 200', 'door3', 'switch', 'win']
['Round 201', 'door3', 'switch', 'win']
['Round 202', 'door2', 'switch', 'win']
['Round 203', 'door1', 'switch', 'win']
['Round 204', 'door2', 'switch', 'win']
['Round 205', 'door2', 'switch', 'lose']
['Round 206', 'door1', 'switch', 'win']
['Round 207', 'door1', 'switch', 'win']
['Round 208', 'door3', 'switch', 'win']
['Round 209', 'door2', 'switch', 'win']
['Round 210', 'door1', 'switch', 'win']
['Round 211', 'door3', 'switch', 'win']
['Round 212', 'door3', 'switch', 'win']
['Round 213', 'door3', 'switch', 'win']
['Round 214', 'door1', 'switch', 'lose']
['Round 215', 'door2', 'switch', 'win']
['Round 216', 'door1', 'switch', 'win']
