['Round 107', 'door2', 'stay', 'lose']
['Round 108', 'door2', 'stay', 'win']
['Round 109', 'door2', 'stay', 'lose']
['Round 110', 'door1', 'stay', 'lose']
['Round 111', 'door1', 'stay', 'win']
['Round 112', 'door2', 'stay', 'lose']
['Round 113', 'door2', 'stay', 'lose']
['Round 114', 'door2', 'stay', 'lose']
['Round 115', 'door3', 'stay', 'lose']
['Round 116', 'door2', 'stay', 'lose']
['Round 117', 'door1', 'stay', 'win']
['Round 118', 'door1', 'stay', 'win']
['Round 119', 'door1', 'stay', 'lose']
['Round 120', 'door1', 'stay', 'lose']
['Round 121', 'door1', 'stay', 'lose']
['Round 122', 'door1', 'stay', 'lose']
['Round 123', 'door2', 'stay', 'win']
['Round 124', 'door1', 'stay', 'win']
['Round 125', 'door1', 'stay', 'win']
['Round 126', 'door1', 'stay', 'lose']
['Round 127', 'door2', 'stay', 'win']
['Round 128', 'door3', 'stay', 'lose']
['Round 129', 'door3', 'stay', 'lose']
['Round 130', 'door1', 'stay', 'win']
['Round 131', 'door1', 'stay', 'win']
['Round 132', 'door1', 'stay', 'lose']
['Round 133', 'door2', 'stay', 'win']
['Round 134', 'door2', 'stay', 'lose']
['Round 135', 'door1', 'stay', 'lose']
['Round 136', 'door2', 'stay', 'win']
['Round 137', 'door2', 'stay', 'lose']
['Round 138', 'door3', 'stay', 'lose']
['Round 139', 'door1', 'stay', 'win']
['Round 140', 'door1', 'stay', 'lose']
['Round 141', 'door1', 'stay', 'win']
['Round 142', 'door2', 'stay', 'lose']
['Round 143', 'door2', 'stay', 'lose']
['Round 144', 'door1', 'stay', 'lose']
['Round 145', 'door1', 'stay', 'lose']
['Round 146', 'door3', 'stay', 'lose']
['Round 147', 'door2', 'stay', 'lose']
['Round 148', 'door3', 'stay', 'lose']
['Round 149', 'door2', 'stay', 'lose']
['Round 150', 'door3', 'stay', 'lose']
['Round 151', 'door2', 'stay', 'lose']
['Round 152', 'door2', 'stay', 'lose']
['Round 153', 'door2', 'stay', 'lose']
['Round 154', 'door2', 'stay', 'win']
['Round 155', 'door2', 'stay', 'lose']
['Round 156', 'door1', 'stay', 'lose']
['Round 157', 'door3', 'stay', 'lose']
['Round 158', 'door2', 'stay', 'win']
['Round 159', 'door1', 'stay', 'lose']
['Round 160', 'door2', 'stay', 'lose']
['Round 161', 'door2', 'stay', 'lose']
['Round 162', 'door2', 'stay', 'lose']
['Round 163', 'door2', 'stay', 'lose']
['Round 164', 'door2', 'stay', 'lose']
['Round 165', 'door1', 'stay', 'win']
['Round 166', 'door1', 'stay', 'win']
['Round 167', 'door3', 'stay', 'win']
['Round 168', 'door2', 'stay', 'lose']
['Round 169', 'door2', 'stay', 'win']
['Round 170', 'door2', 'stay', 'win']
['Round 171', 'door2', 'stay', 'win']
['Round 172', 'door2', 'stay', 'lose']
['Round 173', 'door1', 'stay', 'win']
['Round 174', 'door1', 'stay', 'lose']
['Round 175', 'door1', 'stay', 'lose']
['Round 176', 'door3', 'stay', 'lose']
['Round 177', 'door3', 'stay', 'lose']
['Round 178', 'door3', 'stay', 'win']
['Round 179', 'door1', 'stay', 'win']
['Round 180', 'door3', 'stay', 'lose']
['Round 181', 'door2', 'stay', 'lose']
['Round 182', 'door1', 'stay', 'win']
['Round 183', 'door3', 'stay', 'lose']
['Round 184', 'door1', 'stay', 'lose']
['Round 185', 'door3', 'stay', 'lose']
['Round 186', 'door1', 'stay', 'lose']
['Round 187', 'door1', 'stay', 'lose']
['Round 188', 'door1', 'stay', 'win']
['Round 189', 'door3', 'stay', 'win']
['Round 190', 'door2', 'stay', 'lose']
['Round 191', 'door1', 'stay', 'lose']
['Round 192', 'door2', 'stay', 'lose']
['Round 193', 'door1', 'stay', 'win']
['Round 194', 'door2', 'stay', 'win']
['Round 195', 'door1', 'stay', 'lose']
['Round 196', 'door3', 'stay', 'win']
['Round 197', 'door2', 'stay', 'win']
['Round 198', 'door1', 'stay', 'win']
['Round 199', 'door2', 'stay', 'lose']
['Round 200', 'door1', 'stay', 'lose']
['Round 201', 'door2', 'stay', 'win']
['Round 202', 'door2', 'stay', 'lose']
['Round 203', 'door2', 'stay', 'lose']
['Round 204', 'door1', 'stay', 'win']
['Round 205', 'door3', 'stay', 'win']
['Round 206', 'door1', 'stay', 'lose']
['Round 207', 'door2', 'stay', 'lose']
['Round 208', 'door2', 'stay', 'win']
['Round 209', 'door1', 'stay', 'lose']
['Round 210', 'door3', 'stay', 'win']
['Round 211', 'door1', 'stay', 'lose']
['Round 212', 'door1', 'stay', 'lose']
['Round 213', 'door3', 'stay', 'win']
['Round 214', 'door3', 'stay', 'lose']
['Round 215', 'door3', 'stay', 'lose']
['Round 216', 'door1', 'stay', 'lose']
['Round 217', 'door2', 'stay', 'lose']
['Round 218', 'door3', 'stay', 'lose']
['Round 219', 'door2', 'stay', 'win']
['Round 220', 'door3', 'stay', 'lose']
['Round 221', 'door1', 'stay', 'lose']
['Round 222', 'door2', 'stay', 'lose']
['Round 223', 'door3', 'stay', 'win']
['Round 224', 'door3', 'stay', 'win']
['Round 225', 'door2', 'stay', 'win']
['Round 226', 'door3', 'stay', 'lose']
['Round 227', 'door1', 'stay', 'lose']
['Round 228', 'door3', 'stay', 'lose']
['Round 229', 'door3', 'stay', 'win']
['Round 230', 'door2', 'stay', 'lose']
['Round 231', 'door3', 'stay', 'lose']
['Round 232', 'door1', 'stay', 'win']
['Round 233', 'door1', 'stay', 'win']
['Round 234', 'door2', 'stay', 'lose']
['Round 235', 'door3', 'stay', 'lose']
['Round 236', 'door3', 'stay', 'lose']
['Round 237', 'door1', 'stay', 'lose']
['Round 238', 'door3', 'stay', 'win']
['Round 239', 'door2', 'stay', 'win']
['Round 240', 'door3', 'stay', 'lose']
